Бренд;Модель;Картинка
Asus;"ZenFone Go ZB450KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-go-zb450kl.jpg
Asus;"PadFone S PF500KL";http://teh-profi.net/i/remont_telefonov/asus/150/padfone-s-pf500kl.jpg
Asus;"ZenFone Zoom ZX551ML";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-zoom-zx551ml.jpg
Asus;"ZenFone 2 Deluxe SE";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-deluxe-se.jpg
Asus;"Zenfone 2 Laser ZE601KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-laser-ze601kl.jpg
Asus;"ZenFone 2 ZE550ML";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-ze550ml.jpg
Asus;"ZenFone 2 ZE551ML";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-ze551ml.jpg
Asus;"ZenFone 4 A400CG";http://teh-profi.net/i/remont_telefonov/asus/150/a400cg.jpg
Asus;"ZenFone 6 A600CG";http://teh-profi.net/i/remont_telefonov/asus/150/a600cg.jpg
Asus;"ZenFone Selfie ZD551KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-selfie-zd551kl.jpg
